2016-10-28 16:22:07,2016-10-28 16:25:22,9705
2016-10-28 07:14:55,2016-10-28 07:27:54,4548
2016-10-27 16:23:14,2016-10-27 16:34:51,7603
2016-10-25 15:26:31,2016-10-25 15:39:28,9122
2016-10-25 07:23:39,2016-10-25 07:35:26,1276
2016-10-24 07:50:34,2016-10-24 08:02:23,6257
2016-10-21 15:00:17,2016-10-21 15:11:57,9461
2016-10-20 07:31:29,2016-10-20 07:44:21,3043
2016-10-19 16:44:07,2016-10-19 16:56:36,2844
2016-10-18 15:53:35,2016-10-18 16:06:18,2235
2016-10-18 07:17:45,2016-10-18 07:30:34,3618
2016-10-17 07:16:43,2016-10-17 07:28:49,8670
2016-10-14 07:34:34,2016-10-14 07:46:40,3735
2016-10-13 07:10:57,2016-10-13 07:22:31,9146
2016-10-12 16:21:47,2016-10-12 16:33:14,8740
2016-10-12 07:07:42,2016-10-12 07:19:29,9283
2016-10-11 20:07:30,2016-10-11 20:23:40,8679
2016-10-10 16:09:58,2016-10-10 16:21:00,9069
2016-10-10 06:39:22,2016-10-10 06:50:44,3137
2016-10-07 15:22:57,2016-10-07 15:35:00,9717
2016-10-07 06:42:58,2016-10-07 06:54:58,7598
2016-10-06 07:35:19,2016-10-06 07:41:30,3774
2016-10-05 15:52:52,2016-10-05 16:03:00,8774
2016-10-05 07:13:23,2016-10-05 07:25:00,0982
2016-10-04 17:03:26,2016-10-04 17:17:11,8655
2016-10-01 12:29:54,2016-10-01 12:29:55,9846
2016-10-01 12:30:14,2016-10-01 12:57:00,9203
2016-09-28 16:10:54,2016-09-28 16:26:07,9861
2016-09-27 17:27:46,2016-09-27 17:42:00,9097
2016-09-27 07:31:39,2016-09-27 07:42:49,8578
2016-09-26 16:46:22,2016-09-26 16:54:55,9104
2016-09-23 15:40:39,2016-09-23 15:53:55,8340
2016-09-23 15:39:43,2016-09-23 15:40:08,8328
2016-09-23 15:38:15,2016-09-23 15:39:06,9984
2016-09-23 07:41:15,2016-09-23 07:54:05,9153
2016-09-22 19:59:21,2016-09-22 20:22:12,8478
2016-09-22 07:01:18,2016-09-22 07:13:47,9846
2016-09-16 15:16:35,2016-09-16 15:29:08,2783
2016-09-16 15:17:05,2016-09-16 15:17:12,8551
2016-09-16 06:37:49,2016-09-16 06:49:56,9314
2016-09-15 20:01:43,2016-09-15 20:20:44,2664
2016-09-15 07:46:08,2016-09-15 07:58:28,9287
2016-09-14 06:39:12,2016-09-14 06:52:03,8838
2016-09-13 16:11:10,2016-09-13 16:27:28,9654
2016-09-13 06:55:15,2016-09-13 07:07:53,1685
2016-09-12 16:15:41,2016-09-12 16:28:47,4003
2016-09-08 07:10:56,2016-09-08 07:23:33,5512
2016-09-08 07:10:12,2016-09-08 07:10:26,3459
2016-09-06 07:01:24,2016-09-06 07:15:38,8424
2016-09-05 07:16:11,2016-09-05 07:29:01,5825
2016-09-02 15:09:20,2016-09-02 15:21:07,4812
2016-09-02 07:14:51,2016-09-02 07:27:02,8476
2016-09-01 06:46:22,2016-09-01 06:58:32,3293
2016-08-30 06:35:22,2016-08-30 06:48:08,0699
2016-08-30 06:34:10,2016-08-30 06:34:53,8591
2016-08-29 06:47:35,2016-08-29 06:59:24,8932
2016-08-27 17:09:54,2016-08-27 17:17:57,4476
2016-08-27 17:09:28,2016-08-27 17:18:02,1435
2016-08-27 14:03:38,2016-08-27 14:13:01,3324
